Data; Strefa; Wartość kWh;Rodzaj;
2025-07-01 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 8:00;T1;0,604;oddana po zbilansowaniu;
2025-07-01 9:00;T1;1,838;oddana po zbilansowaniu;
2025-07-01 10:00;T1;2,207;oddana po zbilansowaniu;
2025-07-01 11:00;T1;2,615;oddana po zbilansowaniu;
2025-07-01 12:00;T1;2,822;oddana po zbilansowaniu;
2025-07-01 13:00;T1;2,860;oddana po zbilansowaniu;
2025-07-01 14:00;T1;2,809;oddana po zbilansowaniu;
2025-07-01 15:00;T1;1,701;oddana po zbilansowaniu;
2025-07-01 16:00;T1;2,245;oddana po zbilansowaniu;
2025-07-01 17:00;T1;2,081;oddana po zbilansowaniu;
2025-07-01 18:00;T1;1,720;oddana po zbilansowaniu;
2025-07-01 19:00;T1;1,180;oddana po zbilansowaniu;
2025-07-01 20:00;T1;0,325;oddana po zbilansowaniu;
2025-07-01 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 23:00;T1;0,000;oddana po zbilansowaniu;
2025-07-01 24:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 1:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 8:00;T1;0,874;oddana po zbilansowaniu;
2025-07-02 9:00;T1;1,772;oddana po zbilansowaniu;
2025-07-02 10:00;T1;2,205;oddana po zbilansowaniu;
2025-07-02 11:00;T1;2,573;oddana po zbilansowaniu;
2025-07-02 12:00;T1;2,729;oddana po zbilansowaniu;
2025-07-02 13:00;T1;2,702;oddana po zbilansowaniu;
2025-07-02 14:00;T1;2,740;oddana po zbilansowaniu;
2025-07-02 15:00;T1;2,569;oddana po zbilansowaniu;
2025-07-02 16:00;T1;2,306;oddana po zbilansowaniu;
2025-07-02 17:00;T1;1,987;oddana po zbilansowaniu;
2025-07-02 18:00;T1;1,611;oddana po zbilansowaniu;
2025-07-02 19:00;T1;0,928;oddana po zbilansowaniu;
2025-07-02 20:00;T1;0,312;oddana po zbilansowaniu;
2025-07-02 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 22:00;T1;0,000;oddana po zbilansowaniu;
2025-07-02 23:00;T1;0,801;oddana po zbilansowaniu;
2025-07-02 24:00;T1;0,821;oddana po zbilansowaniu;
2025-07-03 1:00;T1;0,007;oddana po zbilansowaniu;
2025-07-03 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 8:00;T1;2,454;oddana po zbilansowaniu;
2025-07-03 9:00;T1;2,650;oddana po zbilansowaniu;
2025-07-03 10:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 11:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 12:00;T1;1,968;oddana po zbilansowaniu;
2025-07-03 13:00;T1;2,510;oddana po zbilansowaniu;
2025-07-03 14:00;T1;2,466;oddana po zbilansowaniu;
2025-07-03 15:00;T1;2,543;oddana po zbilansowaniu;
2025-07-03 16:00;T1;2,284;oddana po zbilansowaniu;
2025-07-03 17:00;T1;1,380;oddana po zbilansowaniu;
2025-07-03 18:00;T1;1,308;oddana po zbilansowaniu;
2025-07-03 19:00;T1;0,912;oddana po zbilansowaniu;
2025-07-03 20:00;T1;0,053;oddana po zbilansowaniu;
2025-07-03 21:00;T1;0,000;oddana po zbilansowaniu;
2025-07-03 22:00;T1;0,741;oddana po zbilansowaniu;
2025-07-03 23:00;T1;0,748;oddana po zbilansowaniu;
2025-07-03 24:00;T1;0,761;oddana po zbilansowaniu;
2025-07-04 1:00;T1;0,007;oddana po zbilansowaniu;
2025-07-04 2:00;T1;0,000;oddana po zbilansowaniu;
2025-07-04 3:00;T1;0,000;oddana po zbilansowaniu;
2025-07-04 4:00;T1;0,000;oddana po zbilansowaniu;
2025-07-04 5:00;T1;0,000;oddana po zbilansowaniu;
2025-07-04 6:00;T1;0,000;oddana po zbilansowaniu;
2025-07-04 7:00;T1;0,000;oddana po zbilansowaniu;
2025-07-04 8:00;T1;0,892;oddana po zbilansowaniu;
2025-07-04 9:00;T1;0,863;oddana po zbilansowaniu;
